Sector,Index
Automobile,F
Retail & Food,MCD
Finance,WFC
Comp & Tech,MSFT
Energy,TOT
Automobile,HOG
Comp & Tech,CRM
Energy,RDS-A
Finance,JPM
Comp & Tech,ADBE
Retail & Food,SBUX
Retail & Food,DPZ
Energy,CVX
Automobile,TTM
Comp & Tech,SYMC
Energy,XOM
Finance,STT
Retail & Food,BWLD
Automobile,HMC
Energy,BP
Automobile,TM
Comp & Tech,ORCL
Retail & Food,CAKE
Finance,BAC
Finance,C
